% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000       30.661944      0.70908602       1035.5433
0.000       31.164599      0.68991585       1057.9156
0.000       31.667254      0.66714985       1073.3092
0.000       32.169909      0.64520713       1088.2255
0.000       33.175218      0.61789992       1142.9567
0.000       34.180528      0.56988109       1152.8978
0.000       35.185838      0.54698798       1207.1236
0.000       36.191147      0.50036604       1201.6144
0.000       37.196457      0.48469671       1263.7031
0.000       38.201767      0.46867310       1323.7032
0.000       39.207076      0.44494180       1358.5225
0.000       40.212386      0.42201968       1390.2167
0.000       41.217696      0.39856647       1413.9112
0.000       42.223005      0.37974847       1448.1505
0.000       43.228315      0.35849328       1467.0881
0.000       44.233625      0.34738362       1523.1307
0.000       45.238934      0.33589899       1575.4914
0.000       46.244244      0.32292223       1617.8612
0.000       47.249554      0.30835476       1647.8362
0.000       48.254863      0.29764805       1694.3244
0.000       49.260173      0.28966958       1754.1267
0.000       50.265482      0.27786186       1787.7581
0.000       51.270792      0.27232996       1859.4126
0.000       52.276102      0.26038828       1884.5223
0.000       53.281411      0.24573246       1883.0418
0.000       54.286721      0.24259659       1966.2366
0.000       55.292031      0.23239503       1990.1450
0.000       56.297340      0.23020657       2080.9019
0.000       57.302650      0.22085320       2105.2228
0.000       58.307960      0.21430204       2152.1875
0.000       59.313269      0.20482992       2165.3058
0.000       60.318579      0.20220844       2248.1373
0.000       61.323889      0.19694815       2300.9714
0.000       62.329198      0.19091097       2341.9399
0.000       63.334508      0.18752125       2413.4702
0.000       64.339818      0.17910890       2416.7231
0.000       66.350437      0.17557850       2598.2023
0.000       68.361056      0.16139063       2612.0101
0.000       70.371675      0.15804578       2790.2739
0.000       72.382295      0.14986997       2879.2669
0.000       74.392914      0.14330427       2988.9876
0.000       76.403533      0.13625878       3078.7547
0.000       78.414153      0.12600286       3077.7548
0.000       80.424772      0.12376282       3261.5945
0.000       82.435391      0.11986209       3401.6780
0.000       84.446011      0.11566688       3528.7158
0.000       86.456630      0.10997499       3600.4692
0.000       88.467249      0.10642685       3733.0949
0.000       90.477868      0.10274451       3855.2804
0.000       92.488488     0.098884549       3963.3437
0.000       94.499107     0.095712407       4091.8680
0.000       96.509726     0.094544516       4305.4629
0.000       98.520346     0.091307788       4423.3964
0.000       100.53096     0.087341402       4495.6239
0.000       102.54158     0.084891173       4636.9548
