% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000       30.661944      0.84738444       1237.5131
0.000       31.164599      0.82594612       1266.5041
0.000       31.667254      0.80605179       1296.7744
0.000       32.169909      0.77858792       1313.1895
0.000       33.175218      0.73935126       1367.6106
0.000       34.180528      0.69175459       1399.4540
0.000       35.185838      0.66943460       1477.3456
0.000       36.191147      0.60886055       1462.1608
0.000       37.196457      0.59338106       1547.0654
0.000       38.201767      0.57891440       1635.0648
0.000       39.207076      0.54533966       1665.0632
0.000       40.212386      0.52369920       1725.1692
0.000       41.217696      0.49187702       1744.9296
0.000       42.223005      0.47182947       1799.2966
0.000       43.228315      0.45146172       1847.5496
0.000       44.233625      0.43857460       1922.9647
0.000       45.238934      0.42707294       2003.1313
0.000       46.244244      0.41216707       2064.9836
0.000       47.249554      0.39544695       2113.2536
0.000       48.254863      0.38138507       2170.9870
0.000       49.260173      0.36950690       2237.5905
0.000       50.265482      0.35925340       2311.4298
0.000       51.270792      0.34753071       2372.8677
0.000       52.276102      0.33473864       2422.6222
0.000       53.281411      0.31966357       2449.5740
0.000       54.286721      0.31488990       2552.1713
0.000       55.292031      0.29845532       2555.8609
0.000       56.297340      0.29437267       2660.9173
0.000       57.302650      0.28597252       2725.9550
0.000       58.307960      0.28185116       2830.5682
0.000       59.313269      0.26810655       2834.2182
0.000       60.318579      0.26215533       2914.6221
0.000       61.323889      0.25923790       3028.7108
0.000       62.329198      0.25000052       3066.8024
0.000       63.334508      0.24531384       3157.2830
0.000       64.339818      0.24074750       3248.4152
0.000       66.350437      0.22524445       3333.1566
0.000       68.361056      0.21567201       3490.5217
0.000       70.371675      0.20777710       3668.2727
0.000       72.382295      0.19707411       3786.1418
0.000       74.392914      0.19258916       4016.9535
0.000       76.403533      0.18020307       4071.6719
0.000       78.414153      0.17757724       4337.5143
0.000       80.424772      0.17040372       4490.7495
0.000       82.435391      0.16435568       4664.4032
0.000       84.446011      0.15914372       4855.0886
0.000       86.456630      0.15058850       4930.1143
0.000       88.467249      0.14877915       5218.6708
0.000       90.477868      0.14295519       5364.1048
0.000       92.488488      0.13745578       5509.2983
0.000       94.499107      0.13571381       5801.9961
0.000       96.509726      0.12994824       5917.7130
0.000       98.520346      0.12605628       6106.7833
0.000       100.53096      0.12277062       6319.2314
0.000       102.54158      0.11965837       6536.0204
0.000       104.55220      0.11773717       6816.8451
0.000       106.56282      0.11343193       6953.8084
0.000       108.57344      0.11056501       7169.0033
0.000       110.58406      0.10716988       7342.1054
0.000       112.59468      0.10390028       7513.4706
0.000       114.60530      0.10335057       7881.2892
0.000       116.61592      0.10025211       8054.4765
0.000       118.62654     0.098131083       8298.9362
0.000       120.63716     0.096198568       8556.2242
0.000       122.64778     0.093562251       8744.8017
0.000       124.65840     0.091993025       9027.9629
0.000       126.66902     0.089788679       9244.9173
0.000       128.67964     0.087032652       9394.6789
0.000       132.70087     0.084374649       9988.5761
0.000       136.72211     0.080969999       10483.605
0.000       140.74335     0.076663661       10827.881
0.000       144.76459     0.076785997       11801.557
0.000       148.78583     0.072180075       12044.043
