# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000       7.4141587       13.453988       277.78381
0.000       7.5398224       13.119016       284.87534
0.000       7.6654861       12.837356       292.93072
0.000       7.7911498       12.274463       294.08807
0.000       7.9168135       11.847263       297.81016
0.000       8.0424772       11.469957       302.27454
0.000       8.2938046       10.844890       313.44171
0.000       8.5451320       10.258215       324.26375
0.000       8.7964594       9.6259402       331.92284
0.000       9.0477868       9.0716287       340.39456
0.000       9.2991143       8.7517625       356.52545
0.000       9.5504417       8.2430957       363.77342
0.000       9.8017691       7.7580459       370.11442
0.000       10.053096       7.3873941       380.24287
0.000       10.304424       7.1203647       394.67866
0.000       10.555751       6.6333700       395.25005
0.000       10.807079       6.2577282       400.13994
0.000       11.058406       6.0891486       417.16171
0.000       11.309734       5.8751811       430.57483
0.000       11.561061       5.6179075       439.78247
0.000       11.812388       5.2836412       441.18093
0.000       12.063716       5.1652367       459.41352
0.000       12.315043       4.9445658       467.84958
0.000       12.566371       4.7162777       474.13195
0.000       12.817698       4.6013208       490.88853
0.000       13.069025       4.3630073       493.38484
0.000       13.320353       4.2102263       504.10718
0.000       13.571680       4.1266160       522.59491
0.000       13.823008       3.9348035       526.50312
0.000       14.074335       3.7475910       529.30513
0.000       14.325663       3.6248713       539.89213
0.000       14.576990       3.5398297       555.46435
0.000       14.828317       3.3850740       559.13161
0.000       15.079645       3.2697732       568.01686
0.000       15.330972       3.1651338       577.79186
0.000       15.582300       3.0707408       588.58347
0.000       15.833627       2.9745550       598.18221
0.000       16.084954       2.9255509       616.79012
0.000       16.587609       2.7474180       635.25250
0.000       17.090264       2.5630868       648.15651
0.000       17.592919       2.4068022       663.93315
0.000       18.095574       2.2584448       677.94866
0.000       18.598229       2.1613209       704.37551
0.000       19.100883       2.0969307       740.31183
0.000       19.603538       1.9726625       752.88115
0.000       20.106193       1.8606774       766.18012
0.000       20.608848       1.7498296       775.93822
0.000       21.111503       1.6753593       798.61167
0.000       21.614157       1.6180293       827.69738
0.000       22.116812       1.5325264       839.93528
0.000       22.619467       1.4796271       867.50034
0.000       23.122122       1.4126771       884.70043
0.000       23.624777       1.3444106       898.05995
0.000       24.127432       1.2991410       924.39977
0.000       24.630086       1.2502210       946.35668
0.000       25.132741       1.2045897       968.78851
0.000       25.635396       1.1755974       1003.3420
0.000       26.138051       1.1178783       1011.3102
0.000       26.640706       1.0871276       1041.3290
0.000       27.143361       1.0462295       1059.9565
0.000       27.646015       1.0011302       1071.6635
0.000       28.148670      0.96723217       1092.8854
0.000       28.651325      0.93941999       1119.3456
0.000       29.153980      0.91941426       1154.1840
0.000       29.656635      0.89000110       1176.0517
0.000       30.159289      0.85697840       1190.9772
0.000       30.661944      0.83200233       1215.0492
0.000       31.164599      0.79927543       1225.6074
0.000       31.667254      0.77148525       1241.1638
0.000       32.169909      0.75544371       1274.1538
0.000       33.175218      0.70649238       1306.8301
0.000       34.180528      0.66450776       1344.3323
0.000       35.185838      0.63066770       1391.7926
0.000       36.191147      0.60470637       1452.1847
0.000       37.196457      0.57880111       1509.0525
0.000       38.201767      0.54779973       1547.1856
0.000       39.207076      0.53320542       1628.0142
0.000       40.212386      0.49797961       1640.4438
0.000       41.217696      0.48681978       1726.9891
0.000       42.223005      0.45974446       1753.2110
0.000       43.228315      0.43992157       1800.3230
0.000       44.233625      0.42169561       1848.9575
0.000       45.238934      0.41605583       1951.4569
0.000       46.244244      0.38891731       1948.5008
0.000       47.249554      0.37862186       2023.3409
0.000       48.254863      0.37298278       2123.1580
0.000       49.260173      0.35927631       2175.6380
0.000       50.265482      0.34334837       2209.0971
0.000       51.270792      0.33160711       2264.1447
0.000       52.276102      0.31852780       2305.2986
0.000       53.281411      0.31132064       2385.6423
0.000       54.286721      0.29858190       2419.9955
0.000       55.292031      0.29225078       2502.7275
0.000       56.297340      0.28722226       2596.2827
0.000       57.302650      0.27843208       2654.0778
0.000       58.307960      0.26384255       2649.7118
0.000       59.313269      0.26059436       2754.8050
0.000       60.318579      0.25317349       2814.7627
0.000       61.323889      0.24763023       2893.0968
0.000       62.329198      0.24040153       2949.0499
0.000       63.334508      0.23532185       3028.6822
0.000       64.339818      0.22468692       3031.7091
0.000       66.350437      0.21710434       3212.6997
0.000       68.361056      0.20911299       3384.3679
0.000       70.371675      0.19962121       3524.2817
0.000       72.382295      0.18631859       3579.5092
0.000       74.392914      0.18137904       3783.1370
0.000       76.403533      0.17356748       3921.7413
0.000       78.414153      0.16330225       3988.8325
0.000       80.424772      0.15833488       4172.6925
0.000       82.435391      0.15356147       4358.0642
0.000       84.446011      0.14788468       4511.6027
0.000       86.456630      0.14395090       4712.8060
0.000       88.467249      0.13720750       4812.7764
0.000       90.477868      0.13190007       4949.2839
0.000       92.488488      0.12617191       5057.0350
0.000       94.499107      0.12320300       5267.1375
0.000       96.509726      0.12031778       5479.1515
0.000       98.520346      0.11756168       5695.2635
0.000       100.53096      0.11288633       5810.4686
0.000       102.54158      0.11067338       6045.2391
0.000       104.55220      0.10667921       6176.6019
0.000       106.56282      0.10148753       6221.5716
0.000       108.57344     0.097865477       6345.5693
0.000       110.58406     0.096181433       6589.2975
0.000       112.59468     0.093349192       6750.4767
0.000       114.60530     0.090353675       6890.1739
0.000       116.61592     0.089652019       7202.8414
0.000       118.62654     0.087333297       7385.7685
0.000       120.63716     0.083674273       7442.2713
0.000       122.64778     0.083008885       7758.4307
0.000       124.65840     0.080639313       7913.7383
0.000       126.66902     0.078334559       8065.5660
0.000       128.67964     0.077106877       8323.2480
0.000       132.70087     0.072473488       8579.6736
0.000       136.72211     0.071101834       9205.9231
0.000       140.74335     0.066530876       9396.7389
0.000       144.76459     0.063680116       9787.2603
0.000       148.78583     0.061119857       10198.523
0.000       152.80707     0.058518227       10577.712
0.000       156.82831     0.055006440       10748.730
0.000       160.84954     0.054350479       11458.642
0.000       164.87078     0.051625630       11721.055
0.000       168.89202     0.048845963       11921.375
0.000       172.91326     0.046037441       12057.752
0.000       176.93450     0.044166718       12393.756
0.000       180.95574     0.043731849       13127.595
0.000       184.97698     0.041932461       13445.397
0.000       188.99821     0.040699649       13919.833
0.000       193.01945     0.038642626       14077.973
0.000       197.04069     0.037224500       14426.697
0.000       201.06193     0.036739575       15128.432
0.000       205.08317     0.034819242       15215.269
0.000       209.10441     0.033701674       15610.302
0.000       213.12565     0.032319535       15850.483
0.000       217.14688     0.031268244       16219.391
0.000       221.16812     0.031375699       17196.151
0.000       225.18936     0.029759479       17216.275
0.000       229.21060     0.028637576       17470.712
0.000       233.23184     0.028043014       18024.302
0.000       237.25308     0.026708108       18069.617
0.000       241.27432     0.025488535       18136.288
0.000       245.29555     0.024988069       18684.091
0.000       249.31679     0.025231804       19809.484
0.000       253.33803     0.023647058       19478.188
0.000       257.35927     0.022873721       19752.703
0.000       265.40175     0.022812920       21605.408
0.000       273.44422     0.020510543       21244.851
0.000       281.48670     0.019729908       22293.023
0.000       289.52918     0.017684572       21744.120
0.000       297.57166     0.018201265       24296.657
0.000       305.61413     0.016439405       23772.599
0.000       313.65661     0.015281847       23889.631
0.000       321.69909     0.014258663       24049.085
0.000       329.74156     0.012483183       22673.401
0.000       337.78404     0.011906943       23248.124
0.000       345.82652     0.011780930       24684.521
0.000       353.86900     0.010713981       24051.861
0.000       361.91147     0.010225342       24555.862
0.000       369.95395    0.0099251475       25459.521
0.000       377.99643    0.0099816553       27310.894
0.000       386.03891    0.0091465272       26657.518
0.000       394.08138    0.0091986301       28520.108
0.000       402.12386    0.0083177282       27400.249
0.000       410.16634    0.0075772539       26488.791
0.000       418.20881    0.0074956737       27775.410
0.000       426.25129    0.0070515954       27666.535
0.000       434.29377    0.0067263677       27912.688
0.000       442.33625    0.0062934401       27594.081
0.000       450.37872    0.0067766941       31363.299
0.000       458.42120    0.0065641155       32036.168
0.000       466.46368    0.0050560703       25997.816
0.000       474.50615    0.0052468023       28398.180
0.000       482.54863    0.0048560778       27642.617
0.000       490.59111    0.0053595335       32059.465
0.000       498.63359    0.0046962719       29496.336
0.000       506.67606    0.0045233789       29807.420
0.000       514.71854    0.0041519017       28683.144
