# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       6.4088490      0.65010918       8.6695524
3.000       6.5345127      0.63453363       8.9694234
3.000       6.6601764      0.60938698       9.1205416
3.000       6.7858401      0.60114581       9.5161429
3.000       6.9115038      0.58798202       9.8344927
3.000       7.0371675      0.57777761       10.200575
3.000       7.1628313      0.55523785       10.337213
3.000       7.2884950      0.54442141       10.678716
3.000       7.4141587      0.51622546       10.658481
3.000       7.5398224      0.50663588       11.001440
3.000       7.6654861      0.49307390       11.251265
3.000       7.7911498      0.48414060       11.599691
3.000       7.9168135      0.47338677       11.899744
3.000       8.0424772      0.45703551       12.044526
3.000       8.2938046      0.44444441       12.845444
3.000       8.5451320      0.41221011       13.030024
3.000       8.7964594      0.39041625       13.462380
3.000       9.0477868      0.38517394       14.452875
3.000       9.2991143      0.36018006       14.672857
3.000       9.5504417      0.35293910       15.575443
3.000       9.8017691      0.33710482       16.082317
3.000       10.053096      0.32195230       16.571482
3.000       10.304424      0.30999679       17.182985
3.000       10.555751      0.29633677       17.657257
3.000       10.807079      0.29248031       18.702163
3.000       11.058406      0.28380381       19.443126
3.000       11.309734      0.26780300       19.626498
3.000       11.561061      0.26246493       20.546347
3.000       11.812388      0.25894194       21.621499
3.000       12.063716      0.24238130       21.558208
3.000       12.315043      0.23529091       22.262976
3.000       12.566371      0.22712953       22.833551
3.000       12.817698      0.21823313       23.282041
3.000       13.069025      0.21065774       23.821949
3.000       13.320353      0.20682121       24.763528
3.000       13.571680      0.20023927       25.358314
3.000       13.823008      0.19675930       26.327715
3.000       14.074335      0.18635125       26.320022
3.000       14.325663      0.18156239       27.042093
3.000       14.576990      0.17404314       27.310568
3.000       14.828317      0.17001846       28.082900
3.000       15.079645      0.16375965       28.447918
3.000       15.330972      0.16092720       29.377091
3.000       15.582300      0.15460026       29.632965
3.000       15.833627      0.14744388       29.650924
3.000       16.084954      0.14525083       30.623045
3.000       16.587609      0.12979864       30.011782
3.000       17.090264      0.12747778       32.236737
3.000       17.592919      0.11938823       32.934074
3.000       18.095574      0.11578389       34.756455
3.000       18.598229      0.10876166       35.445477
3.000       19.100883      0.10472492       36.972657
3.000       19.603538     0.096640413       36.883525
3.000       20.106193     0.096303887       39.655517
3.000       20.608848     0.091880268       40.743060
3.000       21.111503     0.086553102       41.258206
3.000       21.614157     0.082526166       42.215979
3.000       22.116812     0.077408773       42.425604
3.000       22.619467     0.075621610       44.336692
3.000       23.122122     0.071375395       44.699415
3.000       23.624777     0.068742934       45.919956
3.000       24.127432     0.065238852       46.420503
3.000       24.630086     0.063835582       48.320441
3.000       25.132741     0.060257599       48.462037
3.000       25.635396     0.059622229       50.886029
3.000       26.138051     0.055582787       50.284041
3.000       26.640706     0.053801283       51.534737
3.000       27.143361     0.052405805       53.093396
3.000       27.646015     0.050392979       53.943351
3.000       28.148670     0.049524735       55.958500
3.000       28.651325     0.047510001       56.609514
3.000       29.153980     0.045347764       56.927182
3.000       29.656635     0.044597747       58.931674
3.000       30.159289     0.043652552       60.665700
3.000       30.661944     0.042104056       61.488411
3.000       31.164599     0.040741064       62.472266
3.000       31.667254     0.039242469       63.133199
3.000       32.169909     0.037796761       63.749141
3.000       33.175218     0.035168756       65.053196
3.000       34.180528     0.036933210       74.717721
3.000       35.185838     0.034727548       76.638688
3.000       36.191147     0.031957031       76.743878
3.000       37.196457     0.030497979       79.514447
3.000       38.201767     0.028779524       81.283839
3.000       39.207076     0.027863161       85.073445
3.000       40.212386     0.028041728       92.375024
3.000       41.217696     0.027059450       95.993171
3.000       42.223005     0.025420342       96.939121
3.000       43.228315     0.025364725       103.80191
3.000       44.233625     0.024236515       106.26690
3.000       45.238934     0.024237472       113.68278
3.000       46.244244     0.022784255       114.15058
3.000       47.249554     0.020960466       112.01194
3.000       48.254863     0.022174759       126.22705
3.000       49.260173     0.021417285       129.69477
3.000       50.265482     0.020477727       131.75332
3.000       51.270792     0.020047181       136.87800
3.000       52.276102     0.020076744       145.30252
3.000       53.281411     0.020515292       157.20818
3.000       54.286721     0.019315131       156.54845
3.000       55.292031     0.019142472       163.92905
3.000       56.297340     0.018430902       166.60210
3.000       57.302650     0.018552265       176.84441
3.000       58.307960     0.018759977       188.40226
3.000       59.313269     0.018575666       196.36778
3.000       60.318579     0.017581791       195.47295
3.000       61.323889     0.017629058       205.96263
3.000       62.329198     0.017870025       219.21488
3.000       63.334508     0.017302564       222.69062
3.000       64.339818     0.017933631       241.97917
3.000       66.350437     0.016525440       244.54267
3.000       68.361056     0.015956064       258.23930
3.000       70.371675     0.016417698       289.85192
3.000       72.382295     0.016168383       310.62320
3.000       74.392914     0.016739112       349.13822
3.000       76.403533     0.015902680       359.31960
3.000       78.414153     0.014853889       362.82214
3.000       80.424772     0.015855531       417.85015
3.000       82.435391     0.015119115       429.07948
3.000       84.446011     0.014819389       452.10360
3.000       86.456630     0.015149447       495.97746
3.000       88.467249     0.014573731       511.19733
3.000       90.477868     0.014169644       531.68728
3.000       92.488488     0.014440951       578.80076
3.000       94.499107     0.014536476       621.45906
3.000       96.509726     0.013880110       632.08637
3.000       98.520346     0.013229203       640.88739
3.000       100.53096     0.013030024       670.67948
3.000       102.54158     0.013553146       740.30461
3.000       104.55220     0.013504396       781.88881
3.000       106.56282     0.013505247       827.92297
3.000       108.57344     0.012875972       834.87430
3.000       110.58406     0.012492462       855.84658
3.000       112.59468     0.012900966       932.92364
3.000       114.60530     0.012974343       989.39504
3.000       116.61592     0.012430998       998.73389
3.000       118.62654     0.012354336       1044.8050
3.000       120.63716     0.012406388       1103.4659
3.000       122.64778     0.012089304       1129.9276
3.000       124.65840     0.012135158       1190.9138
3.000       126.66902     0.011918711       1227.1870
3.000       128.67964     0.011599547       1252.1050
3.000       132.70087     0.012956052       1533.7843
3.000       136.72211     0.011563032       1497.1257
3.000       140.74335     0.011393079       1609.1445
3.000       144.76459    0.0097166011       1493.3846
3.000       148.78583    0.0098221285       1638.9306
3.000       152.80707     0.010362841       1873.1795
3.000       156.82831     0.010051822       1964.2122
3.000       160.84954     0.010091850       2127.6519
3.000       164.87078     0.010559816       2397.4950
3.000       168.89202    0.0091795563       2240.3679
3.000       172.91326    0.0087789902       2299.3216
