# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       6.4088490      0.59059269       7.8758684
3.000       6.5345127      0.57630023       8.1462677
3.000       6.6601764      0.55600862       8.3216411
3.000       6.7858401      0.54862792       8.6847842
3.000       6.9115038      0.53912117       9.0172541
3.000       7.0371675      0.52913498       9.3417966
3.000       7.1628313      0.51010821       9.4970065
3.000       7.2884950      0.50288049       9.8638990
3.000       7.4141587      0.47765933       9.8622079
3.000       7.5398224      0.47005613       10.207122
3.000       7.6654861      0.45877279       10.468561
3.000       7.7911498      0.45117345       10.809820
3.000       7.9168135      0.44246008       11.122325
3.000       8.0424772      0.42875205       11.299155
3.000       8.2938046      0.41838143       12.092165
3.000       8.5451320      0.39019305       12.334062
3.000       8.7964594      0.37396904       12.895246
3.000       9.0477868      0.37319516       14.003395
3.000       9.2991143      0.34859577       14.200941
3.000       9.5504417      0.34483563       15.217831
3.000       9.8017691      0.33229637       15.852920
3.000       10.053096      0.32007862       16.475040
3.000       10.304424      0.31073523       17.223916
3.000       10.555751      0.29893043       17.811801
3.000       10.807079      0.29819261       19.067427
3.000       11.058406      0.29137794       19.962022
3.000       11.309734      0.27605206       20.231047
3.000       11.561061      0.27293982       21.366345
3.000       11.812388      0.27106138       22.633466
3.000       12.063716      0.25522455       22.700530
3.000       12.315043      0.24950657       23.608047
3.000       12.566371      0.24434623       24.564362
3.000       12.817698      0.23687712       25.271061
3.000       13.069025      0.23104424       26.127330
3.000       13.320353      0.22711371       27.193230
3.000       13.571680      0.22268293       28.200580
3.000       13.823008      0.21995447       29.431385
3.000       14.074335      0.21084978       29.780163
3.000       14.325663      0.20601856       30.684621
3.000       14.576990      0.20080554       31.510081
3.000       14.828317      0.19595472       32.366937
3.000       15.079645      0.19137118       33.244525
3.000       15.330972      0.18861690       34.431818
3.000       15.582300      0.18325668       35.125678
3.000       15.833627      0.17582206       35.357769
3.000       16.084954      0.17468249       36.828085
3.000       16.587609      0.15830628       36.603262
3.000       17.090264      0.15904492       40.219474
3.000       17.592919      0.14874309       41.031817
3.000       18.095574      0.14788547       44.392829
3.000       18.598229      0.14228628       46.371165
3.000       19.100883      0.13487953       47.618603
3.000       19.603538      0.12946644       49.411820
3.000       20.106193      0.12804722       52.726622
3.000       20.608848      0.12490493       55.387401
3.000       21.111503      0.11744054       55.981656
3.000       21.614157      0.11495325       58.803943
3.000       22.116812      0.10823592       59.321112
3.000       22.619467      0.10678967       62.610417
3.000       23.122122      0.10162409       63.642904
3.000       23.624777      0.10090414       67.403487
3.000       24.127432     0.095547659       67.986642
3.000       24.630086     0.094498277       71.530614
3.000       25.132741     0.089995087       72.378343
3.000       25.635396     0.088801386       75.789685
3.000       26.138051     0.084782394       76.700030
3.000       26.640706     0.081735657       78.292289
3.000       27.143361     0.079112280       80.150273
3.000       27.646015     0.078360968       83.881790
3.000       28.148670     0.076467412       86.401304
3.000       28.651325     0.075256091       89.669768
3.000       29.153980     0.072180739       90.611878
3.000       29.656635     0.070816007       93.576607
3.000       30.159289     0.069451782       96.519923
3.000       30.661944     0.066845280       97.620286
3.000       31.164599     0.065390508       100.26967
3.000       31.667254     0.063054090       101.44128
3.000       32.169909     0.061556967       103.82381
3.000       33.175218     0.059086248       109.29443
3.000       34.180528     0.060187501       121.76231
3.000       35.185838     0.056513120       124.71630
3.000       36.191147     0.052912916       127.06882
3.000       37.196457     0.050125272       130.68680
3.000       38.201767     0.047861678       135.17878
3.000       39.207076     0.045200493       138.00881
3.000       40.212386     0.045819807       150.93955
3.000       41.217696     0.044110352       156.48111
3.000       42.223005     0.041467419       158.13379
3.000       43.228315     0.041367601       169.29164
3.000       44.233625     0.040421821       177.23264
3.000       45.238934     0.037624862       176.47463
3.000       46.244244     0.036915290       184.94798
3.000       47.249554     0.034327746       183.44618
3.000       48.254863     0.034074120       193.96268
3.000       49.260173     0.032691940       197.96971
3.000       50.265482     0.033652053       216.51669
3.000       51.270792     0.031666226       216.21043
3.000       52.276102     0.031770892       229.93720
3.000       53.281411     0.030182717       231.28941
3.000       54.286721     0.030154458       244.40079
3.000       55.292031     0.028619817       245.08952
3.000       56.297340     0.028694864       259.38094
3.000       57.302650     0.027318257       260.40383
3.000       58.307960     0.026771271       268.85789
3.000       59.313269     0.026589537       281.08432
3.000       60.318579     0.025459387       283.05544
3.000       61.323889     0.025802670       301.45602
3.000       62.329198     0.025108016       308.00465
3.000       63.334508     0.025063076       322.57138
3.000       64.339818     0.024143189       325.76495
3.000       66.350437     0.024182482       357.85121
3.000       68.361056     0.021899145       354.42448
3.000       70.371675     0.021030687       371.29354
3.000       72.382295     0.021169846       406.71014
3.000       74.392914     0.019841356       413.84368
3.000       76.403533     0.019308227       436.26761
3.000       78.414153     0.019239709       469.95051
3.000       80.424772     0.019362139       510.26186
3.000       82.435391     0.018218042       517.02681
3.000       84.446011     0.018303873       558.40676
3.000       86.456630     0.018469261       604.66478
3.000       88.467249     0.016459860       577.35639
3.000       90.477868     0.016318943       612.33540
3.000       92.488488     0.017167674       688.08920
3.000       94.499107     0.015978404       683.10390
3.000       96.509726     0.015987085       728.03592
3.000       98.520346     0.015478251       749.84230
3.000       100.53096     0.015575641       801.70713
3.000       102.54158     0.013981595       763.70749
