# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       27.143361     0.053326445       54.026115
3.000       27.646015     0.051080453       54.679260
3.000       28.148670     0.050416590       56.966216
3.000       28.651325     0.048254914       57.497100
3.000       29.153980     0.046583310       58.478220
3.000       29.656635     0.045064910       59.548986
3.000       30.159289     0.043849160       60.938934
3.000       30.661944     0.042709923       62.373214
3.000       31.164599     0.041112695       63.042124
3.000       31.667254     0.040458776       65.089992
3.000       32.169909     0.039025746       65.821982
3.000       33.175218     0.037415337       69.208795
3.000       34.180528     0.035151881       71.114005
3.000       35.185838     0.033888367       74.786737
3.000       36.191147     0.031809811       76.390334
3.000       37.196457     0.029790062       77.668762
3.000       38.201767     0.029053892       82.058756
3.000       39.207076     0.026827104       81.910093
3.000       40.212386     0.026366563       86.856698
3.000       41.217696     0.024903848       88.346191
3.000       42.223005     0.024876218       94.864131
3.000       43.228315     0.023155204       94.759726
3.000       44.233625     0.022159844       97.161575
3.000       45.238934     0.021336173       100.07460
3.000       46.244244     0.020129902       100.85210
3.000       47.249554     0.019570806       104.58565
3.000       48.254863     0.018621108       105.99834
3.000       49.260173     0.018040347       109.24534
3.000       50.265482     0.017236820       110.90139
3.000       51.270792     0.016895891       115.36165
3.000       52.276102     0.016481615       119.28329
3.000       53.281411     0.015856733       121.50975
3.000       54.286721     0.015252685       123.62246
3.000       55.292031     0.014603744       125.06106
3.000       56.297340     0.014223191       128.56742
3.000       57.302650     0.013710209       130.68883
3.000       58.307960     0.013307232       133.64156
3.000       59.313269     0.012853571       135.87815
3.000       60.318579     0.012896184       143.37875
3.000       61.323889     0.012321031       143.94824
3.000       62.329198     0.011676269       143.23494
3.000       63.334508     0.011565439       148.85163
3.000       64.339818     0.011210053       151.25767
3.000       66.350437     0.010499416       155.36985
3.000       68.361056    0.0099024432       160.26508
3.000       70.371675    0.0094376051       166.61946
3.000       72.382295    0.0087966869       168.99990
3.000       74.392914    0.0084016557       175.23863
3.000       76.403533    0.0078798696       178.04493
3.000       78.414153    0.0077908310       190.29939
3.000       80.424772    0.0074381435       196.02178
3.000       82.435391    0.0070229015       199.30947
3.000       84.446011    0.0066586346       203.13879
3.000       86.456630    0.0064210840       210.21975
3.000       88.467249    0.0061350331       215.19627
3.000       90.477868    0.0058543776       219.67370
3.000       92.488488    0.0055160185       221.08486
3.000       94.499107    0.0053121290       227.10254
3.000       96.509726    0.0051341120       233.80234
3.000       98.520346    0.0049187362       238.28767
3.000       100.53096    0.0046002301       236.78237
3.000       102.54158    0.0046228876       252.51295
3.000       104.55220    0.0042607617       246.69314
3.000       106.56282    0.0042061147       257.85082
3.000       108.57344    0.0040993151       265.79841
3.000       110.58406    0.0038471355       263.56355
3.000       112.59468    0.0037346523       270.06858
3.000       114.60530    0.0036433366       277.83289
3.000       116.61592    0.0034549419       277.57767
3.000       118.62654    0.0033655318       284.62270
3.000       120.63716    0.0032850579       292.18410
3.000       122.64778    0.0030781858       287.70283
3.000       124.65840    0.0029630731       290.78850
3.000       126.66902    0.0029217346       300.83074
3.000       128.67964    0.0027649926       298.46519
3.000       132.70087    0.0025039563       296.42740
3.000       136.72211    0.0025090242       324.85638
3.000       140.74335    0.0022419793       316.65439
3.000       144.76459    0.0021669030       333.04028
3.000       148.78583    0.0020282326       338.43301
3.000       152.80707    0.0018123048       327.59090
3.000       156.82831    0.0018021545       352.15643
3.000       160.84954    0.0016207123       341.69270
3.000       164.87078    0.0016984940       385.62516
3.000       168.89202    0.0016000401       390.50673
3.000       172.91326    0.0014626924       383.09648
3.000       176.93450    0.0013884036       389.60412
3.000       180.95574    0.0014828120       445.11622
3.000       184.97698    0.0013788382       442.11637
3.000       188.99821    0.0012098242       413.77630
3.000       193.01945    0.0011339413       413.10845
3.000       197.04069    0.0012289788       476.30200
3.000       201.06193    0.0010053808       413.99052
3.000       205.08317   0.00093983290       410.68700
3.000       209.10441   0.00087573620       405.63285
3.000       213.12565   0.00091825371       450.33954
3.000       217.14688   0.00084711771       439.41495
3.000       221.16812   0.00075626519       414.48801
3.000       225.18936   0.00078805513       455.90092
3.000       229.21060   0.00077890241       475.17918
3.000       233.23184   0.00075172742       483.16355
3.000       237.25308   0.00074694383       505.35174
3.000       241.27432   0.00061571539       438.11038
3.000       245.29555   0.00065776971       491.82790
3.000       249.31679   0.00061018373       479.05511
3.000       253.33803   0.00062910562       518.19713
3.000       257.35927   0.00060043881       518.51158
3.000       265.40175   0.00057165442       541.39614
3.000       273.44422   0.00037119197       384.48119
3.000       281.48670   0.00044791878       506.10797
3.000       289.52918   0.00043480084       534.61070
3.000       297.57166   0.00041759131       557.43778
3.000       305.61413   0.00032722228       473.18768
3.000       313.65661   0.00022727432       355.29080
3.000       321.69909   0.00024801189       418.30422
3.000       329.74156   0.00025090388       455.72066
3.000       337.78404   0.00026032368       508.27801
3.000       345.82652   0.00029423539       616.50989
3.000       353.86900   0.00023427232       525.91890
3.000       361.91147   0.00018521728       444.79390
3.000       369.95395   0.00015268382       391.65737
3.000       377.99643   0.00018587481       508.57369
3.000       386.03891   0.00014682053       427.90786
3.000       394.08138   0.00020990559       650.80671
3.000       402.12386   0.00012562577       413.83624
3.000       410.16634   0.00014070795       491.89109
3.000       418.20881   0.00018608681       689.54940
3.000       426.25129   0.00018327233       719.05860
3.000       434.29377   0.00010351930       429.57836
3.000       442.33625   0.00013113954       574.99159
3.000       450.37872   6.4569227e-05       298.83361
3.000       458.42120   0.00013524589       660.06761
3.000       466.46368   0.00012717728       653.93307
3.000       474.50615   0.00012123493       656.18090
3.000       482.54863   0.00014091854       802.16122
3.000       490.59111   6.8585243e-05       410.26074
