# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       27.143361     0.046083354       46.687991
3.000       27.646015     0.044063515       47.167953
3.000       28.148670     0.042938502       48.516648
3.000       28.651325     0.040852080       48.676413
3.000       29.153980     0.038628282       48.491900
3.000       29.656635     0.037201962       49.158849
3.000       30.159289     0.035867079       49.845916
3.000       30.661944     0.034872824       50.927980
3.000       31.164599     0.033431390       51.263626
3.000       31.667254     0.032397600       52.121189
3.000       32.169909     0.030783951       51.921126
3.000       33.175218     0.028496617       52.711446
3.000       34.180528     0.026682593       53.980214
3.000       35.185838     0.025049910       55.281539
3.000       36.191147     0.023169751       55.641480
3.000       37.196457     0.021451069       55.927310
3.000       38.201767     0.020444372       57.742340
3.000       39.207076     0.018701395       57.100200
3.000       40.212386     0.017915501       59.017220
3.000       41.217696     0.017097274       60.652435
3.000       42.223005     0.016178044       61.694110
3.000       43.228315     0.015066580       61.658062
3.000       44.233625     0.014308479       62.736649
3.000       45.238934     0.013169004       61.767537
3.000       46.244244     0.012374936       61.999224
3.000       47.249554     0.011787633       62.992665
3.000       48.254863     0.011190431       63.700133
3.000       49.260173     0.010460355       63.343850
3.000       50.265482    0.0097959861       63.027196
3.000       51.270792    0.0093557789       63.879321
3.000       52.276102    0.0088655569       64.163178
3.000       53.281411    0.0084956591       65.102025
3.000       54.286721    0.0078317097       63.475725
3.000       55.292031    0.0076059444       65.134491
3.000       56.297340    0.0071245717       64.401007
3.000       57.302650    0.0068811753       65.592926
3.000       58.307960    0.0064446465       64.722143
3.000       59.313269    0.0063491179       67.118036
3.000       60.318579    0.0059740872       66.419426
3.000       61.323889    0.0055216379       64.510029
3.000       62.329198    0.0054321778       66.637525
3.000       63.334508    0.0050335896       64.784224
3.000       64.339818    0.0049107854       66.261413
3.000       66.350437    0.0040335616       59.688452
3.000       68.361056    0.0040325761       65.264817
3.000       70.371675    0.0035296382       62.315219
3.000       72.382295    0.0035780435       68.740537
3.000       74.392914    0.0031859660       66.451703
3.000       76.403533    0.0028216665       63.755297
3.000       78.414153    0.0026403289       64.492862
3.000       80.424772    0.0022515337       59.335994
3.000       82.435391    0.0020008828       56.784919
3.000       84.446011    0.0019362726       59.070978
3.000       86.456630    0.0016950666       55.494753
3.000       88.467249    0.0017089603       59.944563
3.000       90.477868    0.0016682604       62.598106
3.000       92.488488    0.0014406826       57.743303
3.000       94.499107    0.0013598319       58.135122
3.000       96.509726    0.0012294756       55.989090
3.000       98.520346    0.0012969879       62.832446
3.000       100.53096   0.00095130460       48.965412
3.000       102.54158    0.0010997570       60.071303
3.000       104.55220   0.00090297814       52.281383
3.000       106.56282   0.00085227283       52.247565
3.000       108.57344   0.00084603853       54.856895
3.000       110.58406   0.00078798774       53.984282
3.000       112.59468   0.00070243077       50.795754
3.000       114.60530   0.00070597362       53.836007
3.000       116.61592   0.00074620218       59.951533
3.000       118.62654   0.00059896363       50.654296
3.000       120.63716   0.00057812540       51.420418
3.000       122.64778   0.00043072196       40.257455
3.000       124.65840   0.00050186021       49.251292
3.000       126.66902   0.00047629981       49.041287
3.000       128.67964   0.00049990652       53.962060
3.000       132.70087   0.00018743898       22.189704
3.000       136.72211   0.00039753854       51.471375
3.000       140.74335   0.00036081666       50.961300
3.000       144.76459   0.00043078788       66.209570
3.000       148.78583   0.00029776890       49.686030
3.000       152.80707   0.00021226858       38.369514
3.000       156.82831   0.00033666893       65.787994
