% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000       30.661944      0.96295494       1406.2913
0.000       31.164599      0.93973450       1440.9870
0.000       31.667254      0.91574557       1473.2495
0.000       32.169909      0.88876800       1499.0225
0.000       33.175218      0.85907826       1589.0749
0.000       34.180528      0.79010645       1598.4247
0.000       35.185838      0.77457134       1709.3672
0.000       36.191147      0.70278900       1687.7273
0.000       37.196457      0.69117418       1802.0320
0.000       38.201767      0.67981722       1920.0510
0.000       39.207076      0.63756792       1946.6599
0.000       40.212386      0.60195691       1982.9656
0.000       41.217696      0.57296010       2032.5712
0.000       42.223005      0.54876167       2092.6734
0.000       43.228315      0.52964545       2167.5066
0.000       44.233625      0.51233858       2246.3887
0.000       45.238934      0.49747784       2333.3565
0.000       46.244244      0.48461372       2427.9459
0.000       47.249554      0.46340947       2476.4428
0.000       48.254863      0.44794027       2549.8441
0.000       49.260173      0.43209099       2616.5755
0.000       50.265482      0.42398499       2727.9117
0.000       51.270792      0.40551828       2768.7948
0.000       52.276102      0.39454955       2855.4949
0.000       53.281411      0.37840319       2899.6942
0.000       54.286721      0.37637858       3050.5349
0.000       55.292031      0.35786062       3064.5858
0.000       56.297340      0.34942234       3158.5267
0.000       57.302650      0.34628307       3300.8488
0.000       58.307960      0.33282977       3342.5350
0.000       59.313269      0.32019165       3384.8222
0.000       60.318579      0.31882902       3544.7157
0.000       61.323889      0.31101226       3633.5975
0.000       62.329198      0.30198040       3704.4491
0.000       63.334508      0.29621583       3812.4111
0.000       64.339818      0.28790044       3884.6515
0.000       66.350437      0.27648533       4091.4167
0.000       68.361056      0.25930976       4196.7724
0.000       70.371675      0.25054948       4423.4125
0.000       72.382295      0.24153533       4640.3204
0.000       74.392914      0.23464134       4894.0623
0.000       76.403533      0.22173207       5010.0159
0.000       78.414153      0.21400470       5227.2940
0.000       80.424772      0.20717030       5459.6809
0.000       82.435391      0.20425171       5796.6499
0.000       84.446011      0.19535638       5959.8493
0.000       86.456630      0.18747270       6137.6652
0.000       88.467249      0.18411402       6458.0987
0.000       90.477868      0.17396994       6527.8709
0.000       92.488488      0.16864911       6759.5430
0.000       94.499107      0.16800025       7182.2961
0.000       96.509726      0.16318777       7431.4081
0.000       98.520346      0.15687131       7599.6144
0.000       100.53096      0.15417220       7935.5290
0.000       102.54158      0.14921447       8150.4440
0.000       104.55220      0.14689666       8505.1455
0.000       106.56282      0.14207532       8709.7573
0.000       108.57344      0.13977704       9063.1033
0.000       110.58406      0.13592957       9312.4042
0.000       112.59468      0.13285373       9607.2179
0.000       114.60530      0.13030487       9936.7647
0.000       116.61592      0.12619122       10138.481
0.000       118.62654      0.12645320       10694.135
0.000       120.63716      0.12102790       10764.629
0.000       122.64778      0.11865270       11089.882
0.000       124.65840      0.11679965       11462.423
0.000       126.66902      0.11292868       11627.483
0.000       128.67964      0.11118398       12001.677
0.000       132.70087      0.10802464       12788.348
0.000       136.72211      0.10421271       13492.960
0.000       140.74335      0.10276116       14513.859
0.000       144.76459     0.096727722       14866.483
0.000       148.78583     0.095045506       15859.392
0.000       152.80707     0.089482010       16174.703
0.000       156.82831     0.087346569       17068.268
0.000       160.84954     0.084870998       17893.243
0.000       164.87078     0.082457139       18721.025
0.000       168.89202     0.079738892       19461.121
0.000       172.91326     0.078570567       20578.563
0.000       176.93450     0.074796228       20988.795
0.000       180.95574     0.072994839       21911.872
0.000       184.97698     0.070421129       22580.121
0.000       188.99821     0.069274148       23692.700
0.000       193.01945     0.067477107       24582.721
0.000       197.04069     0.066238978       25671.524
0.000       201.06193     0.064890301       26720.193
0.000       205.08317     0.063079026       27564.194
0.000       209.10441     0.061061192       28282.975
0.000       213.12565     0.058923728       28897.988
