# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       6.4088490      0.60736850       8.0995827
3.000       6.5345127      0.59207344       8.3692292
3.000       6.6601764      0.56935187       8.5213462
3.000       6.7858401      0.56091635       8.8793102
3.000       6.9115038      0.55048116       9.2072595
3.000       7.0371675      0.53845862       9.5064039
3.000       7.1628313      0.51808719       9.6455561
3.000       7.2884950      0.50856073       9.9753158
3.000       7.4141587      0.48261148       9.9644547
3.000       7.5398224      0.47349070       10.281703
3.000       7.6654861      0.46017709       10.500606
3.000       7.7911498      0.45250150       10.841639
3.000       7.9168135      0.44194807       11.109455
3.000       8.0424772      0.42717609       11.257623
3.000       8.2938046      0.41483595       11.989692
3.000       8.5451320      0.38455609       12.155877
3.000       8.7964594      0.36503384       12.587141
3.000       9.0477868      0.36242730       13.599353
3.000       9.2991143      0.33696398       13.727090
3.000       9.5504417      0.33063166       14.591000
3.000       9.8017691      0.31605272       15.077981
3.000       10.053096      0.30164019       15.525980
3.000       10.304424      0.29142892       16.153776
3.000       10.555751      0.27777296       16.551131
3.000       10.807079      0.27517345       17.595505
3.000       11.058406      0.26730584       18.312866
3.000       11.309734      0.25198939       18.467565
3.000       11.561061      0.24698018       19.334165
3.000       11.812388      0.24337896       20.322000
3.000       12.063716      0.22746405       20.231418
3.000       12.315043      0.22081197       20.892995
3.000       12.566371      0.21417545       21.531265
3.000       12.817698      0.20639393       22.018984
3.000       13.069025      0.19940204       22.549113
3.000       13.320353      0.19491230       23.337627
3.000       13.571680      0.18926579       23.968631
3.000       13.823008      0.18590409       24.875215
3.000       14.074335      0.17632554       24.904002
3.000       14.325663      0.17193987       25.608905
3.000       14.576990      0.16506568       25.901839
3.000       14.828317      0.16088254       26.573869
3.000       15.079645      0.15613710       27.123748
3.000       15.330972      0.15264209       27.864654
3.000       15.582300      0.14681998       28.141684
3.000       15.833627      0.13997491       28.148916
3.000       16.084954      0.13815036       29.126063
3.000       16.587609      0.12284480       28.403929
3.000       17.090264      0.12163618       30.759506
3.000       17.592919      0.11222223       30.957284
3.000       18.095574      0.10987059       32.981376
3.000       18.598229      0.10402011       33.900205
3.000       19.100883     0.099313934       35.062332
3.000       19.603538     0.093183544       35.564186
3.000       20.106193     0.091083361       37.505836
3.000       20.608848     0.088628011       39.300891
3.000       21.111503     0.082102717       39.136792
3.000       21.614157     0.079169650       40.498964
3.000       22.116812     0.073882707       40.493065
3.000       22.619467     0.071846517       42.123368
3.000       23.122122     0.068460259       42.873788
3.000       23.624777     0.066147309       44.186091
3.000       24.127432     0.062330844       44.351319
3.000       24.630086     0.061521889       46.569087
3.000       25.132741     0.057436462       46.193144
3.000       25.635396     0.056688597       48.382250
3.000       26.138051     0.053128478       48.063703
3.000       26.640706     0.051631963       49.456807
3.000       27.143361     0.049261555       49.907892
3.000       27.646015     0.048607209       52.031767
3.000       28.148670     0.047808775       54.019619
3.000       28.651325     0.045768546       54.534521
3.000       29.153980     0.043882084       55.087244
3.000       29.656635     0.043048401       56.884362
3.000       30.159289     0.042196498       58.642163
3.000       30.661944     0.040468187       59.099400
3.000       31.164599     0.039307918       60.274683
3.000       31.667254     0.037754270       60.738987
3.000       32.169909     0.036113244       60.909671
3.000       33.175218     0.034605431       64.011189
3.000       34.180528     0.036021800       72.873893
3.000       35.185838     0.033699161       74.369187
3.000       36.191147     0.029861167       71.710721
3.000       37.196457     0.029730624       77.513796
3.000       38.201767     0.027051129       76.402223
3.000       39.207076     0.026854433       81.993536
3.000       40.212386     0.027516760       90.645674
3.000       41.217696     0.026630601       94.471836
3.000       42.223005     0.023889937       91.103001
3.000       43.228315     0.023637947       96.735288
3.000       44.233625     0.024533087       107.56725
3.000       45.238934     0.022913424       107.47250
3.000       46.244244     0.022167113       111.05866
3.000       47.249554     0.020621602       110.20106
3.000       48.254863     0.021114550       120.19194
3.000       49.260173     0.020151621       122.03040
3.000       50.265482     0.020920620       134.60289
3.000       51.270792     0.019676705       134.34847
3.000       52.276102     0.020235508       146.45154
3.000       53.281411     0.019201582       147.14125
3.000       54.286721     0.019304717       156.46403
3.000       55.292031     0.018333155       156.99835
3.000       56.297340     0.018820709       170.12568
3.000       57.302650     0.018228305       173.75634
3.000       58.307960     0.018193054       182.70877
3.000       59.313269     0.017924203       189.48102
3.000       60.318579     0.017312001       192.47345
3.000       61.323889     0.017517891       204.66385
3.000       62.329198     0.017449271       214.05342
3.000       63.334508     0.017301201       222.67308
3.000       64.339818     0.016914064       228.22211
3.000       66.350437     0.017879328       264.57744
3.000       68.361056     0.015723910       254.48202
3.000       70.371675     0.015972666       281.99496
3.000       72.382295     0.015321739       294.35767
3.000       74.392914     0.015795371       329.45401
3.000       76.403533     0.015195409       343.33887
3.000       78.414153     0.014823451       362.07867
3.000       80.424772     0.015186189       400.21060
3.000       82.435391     0.014333488       406.78342
3.000       84.446011     0.014439125       440.50268
3.000       86.456630     0.014925461       488.64439
3.000       88.467249     0.014052558       492.91635
3.000       90.477868     0.013899177       521.53856
3.000       92.488488     0.014011456       561.58637
3.000       94.499107     0.013437319       574.46821
3.000       96.509726     0.013098526       596.49380
3.000       98.520346     0.013389466       648.65133
3.000       100.53096     0.012975957       667.89655
3.000       102.54158     0.012683897       692.82416
3.000       104.55220     0.012836253       743.20410
3.000       106.56282     0.012336909       756.29940
