% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000       30.661944      0.90862005       1326.9411
0.000       31.164599      0.88265004       1353.4538
0.000       31.667254      0.86503767       1391.6707
0.000       32.169909      0.83700439       1411.7165
0.000       33.175218      0.78871412       1458.9192
0.000       34.180528      0.73743924       1491.8763
0.000       35.185838      0.70760165       1561.5748
0.000       36.191147      0.64838178       1557.0699
0.000       37.196457      0.62546558       1630.7162
0.000       38.201767      0.61413223       1734.5327
0.000       39.207076      0.58102323       1774.0143
0.000       40.212386      0.54413946       1792.5035
0.000       41.217696      0.52290273       1854.9931
0.000       42.223005      0.49658342       1893.6944
0.000       43.228315      0.46909210       1919.6997
0.000       44.233625      0.45158300       1980.0011
0.000       45.238934      0.43697142       2049.5588
0.000       46.244244      0.42786876       2143.6500
0.000       47.249554      0.40985858       2190.2688
0.000       48.254863      0.39619375       2255.2835
0.000       49.260173      0.38179021       2311.9735
0.000       50.265482      0.36394037       2341.5857
0.000       51.270792      0.35712438       2438.3713
0.000       52.276102      0.34116994       2469.1678
0.000       53.281411      0.32585820       2497.0433
0.000       54.286721      0.32228972       2612.1466
0.000       55.292031      0.30745749       2632.9521
0.000       56.297340      0.30305156       2739.3682
0.000       57.302650      0.29227182       2786.0013
0.000       58.307960      0.28310097       2843.1197
0.000       59.313269      0.27193376       2874.6765
0.000       60.318579      0.27237352       3028.2271
0.000       61.323889      0.26029596       3041.0722
0.000       62.329198      0.24907978       3055.5075
0.000       63.334508      0.24653477       3172.9968
0.000       64.339818      0.23982099       3235.9137
0.000       66.350437      0.22864367       3383.4581
0.000       68.361056      0.21744148       3519.1595
0.000       70.371675      0.20758553       3664.8906
0.000       72.382295      0.19365122       3720.3821
0.000       74.392914      0.18960784       3954.7704
0.000       76.403533      0.18182252       4108.2631
0.000       78.414153      0.17261188       4216.2300
0.000       80.424772      0.16479303       4342.8877
0.000       82.435391      0.16131156       4578.0114
0.000       84.446011      0.15538503       4740.4203
0.000       86.456630      0.14925473       4886.4478
0.000       88.467249      0.14334553       5028.0776
0.000       90.477868      0.13911628       5220.0578
0.000       92.488488      0.13348931       5350.3203
0.000       94.499107      0.12954989       5538.4778
0.000       96.509726      0.12692848       5780.1961
0.000       98.520346      0.12108157       5865.7843
0.000       100.53096      0.11736988       6041.2452
0.000       102.54158      0.11400570       6227.2585
0.000       104.55220      0.11189491       6478.5851
0.000       106.56282      0.10680318       6547.4410
0.000       108.57344      0.10574031       6856.1711
0.000       110.58406      0.10221016       7002.3199
0.000       112.59468     0.098856450       7148.7300
0.000       114.60530     0.097546906       7438.7140
0.000       116.61592     0.094663966       7605.5124
0.000       118.62654     0.093609706       7916.5638
0.000       120.63716     0.089594093       7968.8000
0.000       122.64778     0.089689357       8382.8214
0.000       124.65840     0.087634038       8600.1830
0.000       126.66902     0.085627561       8816.4759
0.000       128.67964     0.083054669       8965.2782
0.000       132.70087     0.080597909       9541.4721
0.000       136.72211     0.075963512       9835.3897
0.000       140.74335     0.074090662       10464.474
0.000       144.76459     0.072269613       11107.415
0.000       148.78583     0.068947436       11504.641
0.000       152.80707     0.064666397       11689.051
0.000       156.82831     0.063256085       12360.781
0.000       160.84954     0.061942846       13059.331
0.000       164.87078     0.058728972       13333.794
0.000       168.89202     0.058031505       14163.203
0.000       172.91326     0.055967612       14658.581
0.000       176.93450     0.054149383       15195.022
0.000       180.95574     0.051983751       15604.683
0.000       184.97698     0.051054179       16370.222
0.000       188.99821     0.049332313       16872.321
0.000       193.01945     0.048484838       17663.609
0.000       197.04069     0.046995275       18213.450
0.000       201.06193     0.046324354       19075.203
0.000       205.08317     0.044595798       19487.416
0.000       209.10441     0.043800457       20287.964
0.000       213.12565     0.042099574       20646.911
0.000       217.14688     0.041412760       21481.531
0.000       221.16812     0.040715541       22315.060
0.000       225.18936     0.039500500       22851.592
0.000       229.21060     0.038892924       23727.116
0.000       233.23184     0.038076286       24473.064
0.000       237.25308     0.037196212       25165.440
0.000       241.27432     0.036538261       25998.686
0.000       245.29555     0.035585493       26608.003
0.000       249.31679     0.034918084       27414.180
0.000       253.33803     0.034474613       28396.894
0.000       257.35927     0.033658219       29065.704
0.000       265.40175     0.031958247       30266.663
0.000       273.44422     0.032088849       33237.677
0.000       281.48670     0.029720693       33581.712
0.000       289.52918     0.028747902       35347.071
0.000       297.57166     0.027910622       37257.564
0.000       305.61413     0.027419589       39650.758
0.000       313.65661     0.026271187       41068.921
0.000       321.69909     0.025809994       43531.902
0.000       329.74156     0.024707141       44875.969
0.000       337.78404     0.023810179       46489.010
0.000       345.82652     0.023000529       48192.890
0.000       353.86900     0.022752794       51077.841
0.000       361.91147     0.021507810       51650.379
0.000       369.95395     0.021767968       55838.166
0.000       377.99643     0.020651849       56505.703
0.000       386.03891     0.020367096       59359.822
0.000       394.08138     0.019924962       61776.814
0.000       402.12386     0.019146532       63072.479
0.000       410.16634     0.018515395       64726.673
0.000       418.20881     0.018169836       67328.792
0.000       426.25129     0.017533171       68790.402
0.000       434.29377     0.017213992       71433.617
0.000       442.33625     0.016800723       73664.088
0.000       450.37872     0.016366125       75744.260
0.000       458.42120     0.015849881       77355.347
0.000       466.46368     0.015662120       80533.079
0.000       474.50615     0.015257234       82579.378
0.000       482.54863     0.014887373       84744.514
0.000       490.59111     0.014477915       86603.472
0.000       498.63359     0.014174689       89028.363
0.000       506.67606     0.013511708       89037.234
0.000       514.71854     0.013412163       92657.062
0.000     0.062831853       2408.8041     0.030269926
0.000      0.12566371       3706.1793      0.37258578
0.000      0.18849556       1527.6876      0.51833219
0.000      0.25132741       1234.5197      0.99285966
0.000      0.31415927       891.20206       1.3998969
0.000      0.37699112       672.91861       1.8265273
0.000      0.43982297       561.35365       2.4195830
0.000      0.50265482       504.44083       3.2455631
0.000      0.56548668       425.86900       3.9013366
0.000      0.62831853       401.97428       5.0513578
0.000      0.69115038       359.65966       6.0156097
0.000      0.75398224       322.95795       7.0129313
0.000      0.81681409       315.35053       8.7062972
0.000      0.87964594       296.90147       10.237792
0.000      0.94247780       276.79078       11.739112
0.000       1.0053096       262.09918       13.490731
0.000       1.0681415       248.26108       15.327286
0.000       1.1309734       221.31998       16.219893
0.000       1.1938052       218.88434       18.866240
0.000       1.2566371       196.36317       19.740579
0.000       1.3194689       195.70497       22.775589
0.000       1.3823008       190.70979       25.518250
0.000       1.4451326       178.95264       27.360970
0.000       1.5079645       168.12535       29.206317
0.000       1.5707963       163.27849       32.059656
0.000       1.6336282       155.92736       34.439134
0.000       1.6964600       146.94485       36.345908
0.000       1.7592919       139.56994       38.501340
0.000       1.8221237       135.46583       41.517733
0.000       1.8849556       131.74218       44.699068
0.000       1.9477874       125.48751       46.978101
0.000       2.0106193       122.99247       50.645204
0.000       2.0734512       116.67977       52.692313
0.000       2.1362830       111.91410       55.275340
0.000       2.1991149       104.94201       56.540985
0.000       2.2619467       103.47586       60.667544
0.000       2.3247786       99.454969       63.305512
0.000       2.3876104       98.907701       68.201003
0.000       2.4504423       93.313899       69.558470
0.000       2.5132741       91.246818       73.385045
0.000       2.5761060       85.861208       74.363261
0.000       2.6389378       84.305958       78.490302
0.000       2.7017697       80.763157       80.691636
0.000       2.7646015       78.474145       84.002940
0.000       2.8274334       76.375909       87.458857
0.000       2.8902652       73.323660       89.686586
0.000       2.9530971       72.382060       94.435303
0.000       3.0159289       69.400927       96.449248
0.000       3.0787608       67.477992       99.760876
0.000       3.1415927       64.885466       101.92185
0.000       3.2044245       63.786254       106.32796
0.000       3.2672564       60.632211       107.13301
0.000       3.3300882       59.189515       110.73432
0.000       3.3929201       57.587335       113.95100
0.000       3.4557519       55.973978       117.02647
0.000       3.5185838       53.736464       118.58862
0.000       3.5814156       52.926855       123.17158
0.000       3.6442475       50.906300       124.81460
0.000       3.7070793       50.205340       129.57339
0.000       3.7699112       49.139013       133.37979
0.000       3.8327430       48.120486       137.25538
0.000       3.8955749       46.613558       139.60378
0.000       3.9584067       45.374378       142.57461
0.000       4.0212386       43.772687       144.19593
0.000       4.1469023       41.162367       148.71063
0.000       4.2725660       40.263119       159.09042
0.000       4.3982297       37.916719       163.43111
0.000       4.5238934       35.391661       166.00008
0.000       4.6495571       33.868471       172.46486
0.000       4.7752208       32.620962       179.94816
0.000       4.9008845       31.348338       186.94256
0.000       5.0265482       30.158859       194.04155
0.000       5.1522120       28.735556       199.09989
0.000       5.2778757       26.877188       200.18501
0.000       5.4035394       26.172597       209.19536
0.000       5.5292031       25.307068       216.72036
0.000       5.6548668       24.559846       224.98991
0.000       5.7805305       23.459265       229.55552
0.000       5.9061942       22.151992       231.20978
0.000       6.0318579       21.462324       238.61642
0.000       6.1575216       20.683087       244.62647
0.000       6.2831853       19.884678       249.87823
0.000       6.4088490       19.197740       256.01209
0.000       6.5345127       18.408063       260.20640
0.000       6.6601764       18.029525       269.84336
0.000       6.7858401       17.376565       275.07116
0.000       6.9115038       16.603639       277.70980
0.000       7.0371675       15.918671       281.04169
0.000       7.1628313       15.588292       290.21707
0.000       7.2884950       15.078855       295.76870
0.000       7.4141587       14.653772       302.55569
0.000       7.5398224       14.152949       307.32687
0.000       7.6654861       13.600513       310.34492
0.000       7.7911498       13.294281       318.52225
0.000       7.9168135       12.903519       324.36177
0.000       8.0424772       12.577576       331.46428
0.000       8.2938046       11.637419       336.34759
0.000       8.5451320       10.993367       347.50202
0.000       8.7964594       10.630715       366.56961
0.000       9.0477868       10.086691       378.48274
0.000       9.2991143       9.5279114       388.14386
0.000       9.5504417       9.0826245       400.82240
0.000       9.8017691       8.6400506       412.19237
0.000       10.053096       8.1716863       420.61184
0.000       10.304424       7.8068084       432.72793
0.000       10.555751       7.4711424       445.16880
0.000       10.807079       7.1213245       455.36115
0.000       11.058406       6.7943680       465.47561
0.000       11.309734       6.5590557       480.69400
0.000       11.561061       6.2191834       486.85171
0.000       11.812388       6.0066651       501.55300
0.000       12.063716       5.7810249       514.18380
0.000       12.315043       5.5884344       528.77174
0.000       12.566371       5.3408199       536.91778
0.000       12.817698       5.1495073       549.37140
0.000       13.069025       4.9555462       560.39132
0.000       13.320353       4.7525912       569.04669
0.000       13.571680       4.6264791       585.89760
0.000       13.823008       4.4419856       594.36750
0.000       14.074335       4.3312729       611.74365
0.000       14.325663       4.1378975       616.30280
0.000       14.576990       4.0310335       632.54325
0.000       14.828317       3.8789296       640.70450
0.000       15.079645       3.7883739       658.10687
0.000       15.330972       3.6544148       667.10958
0.000       15.582300       3.5155669       673.84541
0.000       15.833627       3.3828544       680.29111
0.000       16.084954       3.2883539       693.27942
0.000       16.587609       3.1688385       732.69252
0.000       17.090264       2.9583432       748.10942
0.000       17.592919       2.7805944       767.04633
0.000       18.095574       2.5972214       779.64391
0.000       18.598229       2.4735647       806.13591
0.000       19.100883       2.3160920       817.68575
0.000       19.603538       2.2381380       854.20185
0.000       20.106193       2.0887762       860.10547
0.000       20.608848       2.0467443       907.60105
0.000       21.111503       1.8795935       895.96621
0.000       21.614157       1.8412390       941.87953
0.000       22.116812       1.7173057       941.20769
0.000       22.619467       1.6792885       984.56113
0.000       23.122122       1.6134211       1010.4180
0.000       23.624777       1.5298120       1021.9072
0.000       24.127432       1.4721667       1047.5157
0.000       24.630086       1.4174616       1072.9497
0.000       25.132741       1.3397456       1077.4873
0.000       25.635396       1.2987757       1108.4714
0.000       26.138051       1.2634304       1142.9867
